date_actual,CIT_Long,player
2012-01-03 00:00:00,42394,Com
2012-01-03 00:00:00,39581,Index
2012-01-03 00:00:00,14096,Ncom
2012-01-03 00:00:00,6450,Nrep
2012-01-10 00:00:00,45869,Com
2012-01-10 00:00:00,41106,Index
2012-01-10 00:00:00,16805,Ncom
2012-01-10 00:00:00,6154,Nrep
2012-01-17 00:00:00,43842,Com
2012-01-17 00:00:00,41869,Index
2012-01-17 00:00:00,18029,Ncom
2012-01-17 00:00:00,7252,Nrep
2012-01-24 00:00:00,49583,Com
2012-01-24 00:00:00,40739,Index
2012-01-24 00:00:00,17878,Ncom
2012-01-24 00:00:00,7199,Nrep
2012-01-31 00:00:00,52337,Com
2012-01-31 00:00:00,41422,Index
2012-01-31 00:00:00,18617,Ncom
2012-01-31 00:00:00,8182,Nrep
2012-02-07 00:00:00,55843,Com
2012-02-07 00:00:00,42544,Index
2012-02-07 00:00:00,22957,Ncom
2012-02-07 00:00:00,8322,Nrep
2012-02-14 00:00:00,53765,Com
2012-02-14 00:00:00,43092,Index
2012-02-14 00:00:00,19016,Ncom
2012-02-14 00:00:00,7248,Nrep
2012-02-21 00:00:00,53198,Com
2012-02-21 00:00:00,43381,Index
2012-02-21 00:00:00,19407,Ncom
2012-02-21 00:00:00,7591,Nrep
2012-02-28 00:00:00,54418,Com
2012-02-28 00:00:00,43889,Index
2012-02-28 00:00:00,21640,Ncom
2012-02-28 00:00:00,8780,Nrep
2012-03-06 00:00:00,58327,Com
2012-03-06 00:00:00,44617,Index
2012-03-06 00:00:00,21022,Ncom
2012-03-06 00:00:00,8887,Nrep
2012-03-13 00:00:00,63920,Com
2012-03-13 00:00:00,44968,Index
2012-03-13 00:00:00,19705,Ncom
2012-03-13 00:00:00,9191,Nrep
2012-03-20 00:00:00,69483,Com
2012-03-20 00:00:00,45856,Index
2012-03-20 00:00:00,20680,Ncom
2012-03-20 00:00:00,9099,Nrep
2012-03-27 00:00:00,71640,Com
2012-03-27 00:00:00,46089,Index
2012-03-27 00:00:00,21159,Ncom
2012-03-27 00:00:00,8510,Nrep
2012-04-03 00:00:00,72134,Com
2012-04-03 00:00:00,47475,Index
2012-04-03 00:00:00,20979,Ncom
2012-04-03 00:00:00,8435,Nrep
2012-04-10 00:00:00,74795,Com
2012-04-10 00:00:00,47599,Index
2012-04-10 00:00:00,21972,Ncom
2012-04-10 00:00:00,7764,Nrep
2012-04-17 00:00:00,67739,Com
2012-04-17 00:00:00,45885,Index
2012-04-17 00:00:00,18566,Ncom
2012-04-17 00:00:00,7148,Nrep
2012-04-24 00:00:00,65884,Com
2012-04-24 00:00:00,47308,Index
2012-04-24 00:00:00,21263,Ncom
2012-04-24 00:00:00,7269,Nrep
2012-05-01 00:00:00,65476,Com
2012-05-01 00:00:00,46603,Index
2012-05-01 00:00:00,21118,Ncom
2012-05-01 00:00:00,7624,Nrep
2012-05-08 00:00:00,67338,Com
2012-05-08 00:00:00,47904,Index
2012-05-08 00:00:00,20269,Ncom
2012-05-08 00:00:00,6424,Nrep
2012-05-15 00:00:00,65646,Com
2012-05-15 00:00:00,47957,Index
2012-05-15 00:00:00,20142,Ncom
2012-05-15 00:00:00,6653,Nrep
2012-05-22 00:00:00,67239,Com
2012-05-22 00:00:00,47587,Index
2012-05-22 00:00:00,20833,Ncom
2012-05-22 00:00:00,7033,Nrep
2012-05-29 00:00:00,70828,Com
2012-05-29 00:00:00,46443,Index
2012-05-29 00:00:00,18604,Ncom
2012-05-29 00:00:00,7789,Nrep
2012-06-05 00:00:00,73648,Com
2012-06-05 00:00:00,48770,Index
2012-06-05 00:00:00,17761,Ncom
2012-06-05 00:00:00,7850,Nrep
2012-06-12 00:00:00,71797,Com
2012-06-12 00:00:00,45773,Index
2012-06-12 00:00:00,17860,Ncom
2012-06-12 00:00:00,7805,Nrep
2012-06-19 00:00:00,66976,Com
2012-06-19 00:00:00,45393,Index
2012-06-19 00:00:00,18451,Ncom
2012-06-19 00:00:00,8078,Nrep
2012-06-26 00:00:00,66742,Com
2012-06-26 00:00:00,46095,Index
2012-06-26 00:00:00,18145,Ncom
2012-06-26 00:00:00,8047,Nrep
2012-07-03 00:00:00,68741,Com
2012-07-03 00:00:00,46970,Index
2012-07-03 00:00:00,17136,Ncom
2012-07-03 00:00:00,5914,Nrep
2012-07-10 00:00:00,70213,Com
2012-07-10 00:00:00,47400,Index
2012-07-10 00:00:00,16741,Ncom
2012-07-10 00:00:00,3803,Nrep
2012-07-17 00:00:00,67726,Com
2012-07-17 00:00:00,45900,Index
2012-07-17 00:00:00,17528,Ncom
2012-07-17 00:00:00,7776,Nrep
2012-07-24 00:00:00,67334,Com
2012-07-24 00:00:00,43934,Index
2012-07-24 00:00:00,16261,Ncom
2012-07-24 00:00:00,8188,Nrep
2012-07-31 00:00:00,68406,Com
2012-07-31 00:00:00,43716,Index
2012-07-31 00:00:00,16278,Ncom
2012-07-31 00:00:00,7725,Nrep
