date_actual,CIT_Short,player
2012-01-03 00:00:00,-67168,Com
2012-01-03 00:00:00,-7087,Index
2012-01-03 00:00:00,-19728,Ncom
2012-01-03 00:00:00,-8538,Nrep
2012-01-10 00:00:00,-71007,Com
2012-01-10 00:00:00,-7754,Index
2012-01-10 00:00:00,-23140,Ncom
2012-01-10 00:00:00,-8034,Nrep
2012-01-17 00:00:00,-75261,Com
2012-01-17 00:00:00,-7724,Index
2012-01-17 00:00:00,-19390,Ncom
2012-01-17 00:00:00,-8617,Nrep
2012-01-24 00:00:00,-78523,Com
2012-01-24 00:00:00,-6605,Index
2012-01-24 00:00:00,-21816,Ncom
2012-01-24 00:00:00,-8455,Nrep
2012-01-31 00:00:00,-78944,Com
2012-01-31 00:00:00,-7081,Index
2012-01-31 00:00:00,-25036,Ncom
2012-01-31 00:00:00,-9497,Nrep
2012-02-07 00:00:00,-85918,Com
2012-02-07 00:00:00,-7466,Index
2012-02-07 00:00:00,-27042,Ncom
2012-02-07 00:00:00,-9240,Nrep
2012-02-14 00:00:00,-77546,Com
2012-02-14 00:00:00,-6962,Index
2012-02-14 00:00:00,-30293,Ncom
2012-02-14 00:00:00,-8320,Nrep
2012-02-21 00:00:00,-75290,Com
2012-02-21 00:00:00,-7327,Index
2012-02-21 00:00:00,-32966,Ncom
2012-02-21 00:00:00,-7995,Nrep
2012-02-28 00:00:00,-76471,Com
2012-02-28 00:00:00,-7725,Index
2012-02-28 00:00:00,-35218,Ncom
2012-02-28 00:00:00,-9315,Nrep
2012-03-06 00:00:00,-78407,Com
2012-03-06 00:00:00,-7696,Index
2012-03-06 00:00:00,-36874,Ncom
2012-03-06 00:00:00,-9876,Nrep
2012-03-13 00:00:00,-81372,Com
2012-03-13 00:00:00,-7933,Index
2012-03-13 00:00:00,-38720,Ncom
2012-03-13 00:00:00,-9759,Nrep
2012-03-20 00:00:00,-85367,Com
2012-03-20 00:00:00,-8270,Index
2012-03-20 00:00:00,-41224,Ncom
2012-03-20 00:00:00,-10258,Nrep
2012-03-27 00:00:00,-89529,Com
2012-03-27 00:00:00,-8068,Index
2012-03-27 00:00:00,-40167,Ncom
2012-03-27 00:00:00,-9633,Nrep
2012-04-03 00:00:00,-91526,Com
2012-04-03 00:00:00,-9649,Index
2012-04-03 00:00:00,-38533,Ncom
2012-04-03 00:00:00,-9314,Nrep
2012-04-10 00:00:00,-93848,Com
2012-04-10 00:00:00,-9622,Index
2012-04-10 00:00:00,-40264,Ncom
2012-04-10 00:00:00,-8394,Nrep
2012-04-17 00:00:00,-84264,Com
2012-04-17 00:00:00,-6767,Index
2012-04-17 00:00:00,-40743,Ncom
2012-04-17 00:00:00,-7564,Nrep
2012-04-24 00:00:00,-85445,Com
2012-04-24 00:00:00,-8276,Index
2012-04-24 00:00:00,-40296,Ncom
2012-04-24 00:00:00,-7707,Nrep
2012-05-01 00:00:00,-84993,Com
2012-05-01 00:00:00,-8204,Index
2012-05-01 00:00:00,-39802,Ncom
2012-05-01 00:00:00,-7823,Nrep
2012-05-08 00:00:00,-84244,Com
2012-05-08 00:00:00,-9360,Index
2012-05-08 00:00:00,-41142,Ncom
2012-05-08 00:00:00,-7190,Nrep
2012-05-15 00:00:00,-86222,Com
2012-05-15 00:00:00,-9173,Index
2012-05-15 00:00:00,-38074,Ncom
2012-05-15 00:00:00,-6930,Nrep
2012-05-22 00:00:00,-87965,Com
