date_actual,CIT_Net,player
2012-01-03 00:00:00,-24774,Com
2012-01-03 00:00:00,32494,Index
2012-01-03 00:00:00,-5632,Ncom
2012-01-03 00:00:00,-2088,Nrep
2012-01-10 00:00:00,-25138,Com
2012-01-10 00:00:00,33352,Index
2012-01-10 00:00:00,-6335,Ncom
2012-01-10 00:00:00,-1880,Nrep
2012-01-17 00:00:00,-31419,Com
2012-01-17 00:00:00,34145,Index
2012-01-17 00:00:00,-1361,Ncom
2012-01-17 00:00:00,-1365,Nrep
2012-01-24 00:00:00,-28940,Com
2012-01-24 00:00:00,34134,Index
2012-01-24 00:00:00,-3938,Ncom
2012-01-24 00:00:00,-1256,Nrep
2012-01-31 00:00:00,-26607,Com
2012-01-31 00:00:00,34341,Index
2012-01-31 00:00:00,-6419,Ncom
2012-01-31 00:00:00,-1315,Nrep
2012-02-07 00:00:00,-30075,Com
2012-02-07 00:00:00,35078,Index
2012-02-07 00:00:00,-4085,Ncom
2012-02-07 00:00:00,-918,Nrep
2012-02-14 00:00:00,-23781,Com
2012-02-14 00:00:00,36130,Index
2012-02-14 00:00:00,-11277,Ncom
2012-02-14 00:00:00,-1072,Nrep
2012-02-21 00:00:00,-22092,Com
2012-02-21 00:00:00,36054,Index
2012-02-21 00:00:00,-13559,Ncom
2012-02-21 00:00:00,-404,Nrep
2012-02-28 00:00:00,-22053,Com
2012-02-28 00:00:00,36164,Index
2012-02-28 00:00:00,-13578,Ncom
2012-02-28 00:00:00,-535,Nrep
2012-03-06 00:00:00,-20080,Com
2012-03-06 00:00:00,36921,Index
2012-03-06 00:00:00,-15852,Ncom
2012-03-06 00:00:00,-989,Nrep
2012-03-13 00:00:00,-17452,Com
2012-03-13 00:00:00,37035,Index
2012-03-13 00:00:00,-19015,Ncom
2012-03-13 00:00:00,-568,Nrep
2012-03-20 00:00:00,-15884,Com
2012-03-20 00:00:00,37586,Index
2012-03-20 00:00:00,-20544,Ncom
2012-03-20 00:00:00,-1159,Nrep
2012-03-27 00:00:00,-17889,Com
2012-03-27 00:00:00,38021,Index
2012-03-27 00:00:00,-19008,Ncom
2012-03-27 00:00:00,-1123,Nrep
2012-04-03 00:00:00,-19392,Com
2012-04-03 00:00:00,37826,Index
2012-04-03 00:00:00,-17554,Ncom
2012-04-03 00:00:00,-879,Nrep
2012-04-10 00:00:00,-19053,Com
2012-04-10 00:00:00,37977,Index
2012-04-10 00:00:00,-18292,Ncom
2012-04-10 00:00:00,-630,Nrep
2012-04-17 00:00:00,-16525,Com
2012-04-17 00:00:00,39118,Index
2012-04-17 00:00:00,-22177,Ncom
2012-04-17 00:00:00,-416,Nrep
2012-04-24 00:00:00,-19561,Com
2012-04-24 00:00:00,39032,Index
2012-04-24 00:00:00,-19033,Ncom
2012-04-24 00:00:00,-438,Nrep
2012-05-01 00:00:00,-19517,Com
2012-05-01 00:00:00,38399,Index
2012-05-01 00:00:00,-18684,Ncom
2012-05-01 00:00:00,-199,Nrep
2012-05-08 00:00:00,-16906,Com
2012-05-08 00:00:00,38544,Index
2012-05-08 00:00:00,-20873,Ncom
2012-05-08 00:00:00,-766,Nrep
2012-05-15 00:00:00,-20576,Com
2012-05-15 00:00:00,38784,Index
2012-05-15 00:00:00,-17932,Ncom
2012-05-15 00:00:00,-277,Nrep
2012-05-22 00:00:00,-20726,Com
2012-05-22 00:00:00,38427,Index
2012-05-22 00:00:00,-16844,Ncom
2012-05-22 00:00:00,-858,Nrep
2012-05-29 00:00:00,-16218,Com
2012-05-29 00:00:00,37747,Index
2012-05-29 00:00:00,-20241,Ncom
2012-05-29 00:00:00,-1287,Nrep
2012-06-05 00:00:00,-15103,Com
2012-06-05 00:00:00,37470,Index
2012-06-05 00:00:00,-21398,Ncom
2012-06-05 00:00:00,-968,Nrep
2012-06-12 00:00:00,-14050,Com
2012-06-12 00:00:00,37176,Index
2012-06-12 00:00:00,-22470,Ncom
2012-06-12 00:00:00,-656,Nrep
2012-06-19 00:00:00,-15438,Com
2012-06-19 00:00:00,37761,Index
2012-06-19 00:00:00,-21814,Ncom
2012-06-19 00:00:00,-510,Nrep
2012-06-26 00:00:00,-16465,Com
2012-06-26 00:00:00,38498,Index
2012-06-26 00:00:00,-21341,Ncom
2012-06-26 00:00:00,-692,Nrep
2012-07-03 00:00:00,-21404,Com
2012-07-03 00:00:00,39827,Index
2012-07-03 00:00:00,-17121,Ncom
2012-07-03 00:00:00,-1301,Nrep
2012-07-10 00:00:00,-25547,Com
2012-07-10 00:00:00,39431,Index
2012-07-10 00:00:00,-12362,Ncom
2012-07-10 00:00:00,-1521,Nrep
2012-07-17 00:00:00,-28837,Com
2012-07-17 00:00:00,39386,Index
2012-07-17 00:00:00,-9422,Ncom
2012-07-17 00:00:00,-1126,Nrep
2012-07-24 00:00:00,-28542,Com
2012-07-24 00:00:00,39155,Index
2012-07-24 00:00:00,-9762,Ncom
2012-07-24 00:00:00,-851,Nrep
2012-07-31 00:00:00,-27933,Com
2012-07-31 00:00:00,39111,Index
2012-07-31 00:00:00,-9952,Ncom
2012-07-31 00:00:00,-1226,Nrep
2012-08-07 00:00:00,-27293,Com
2012-08-07 00:00:00,39267,Index
2012-08-07 00:00:00,-10813,Ncom
2012-08-07 00:00:00,-1161,Nrep
2012-08-14 00:00:00,-19949,Com
2012-08-14 00:00:00,39294,Index
2012-08-14 00:00:00,-17529,Ncom
2012-08-14 00:00:00,-1817,Nrep
2012-08-21 00:00:00,-15000,Com
2012-08-21 00:00:00,40320,Index
2012-08-21 00:00:00,-24584,Ncom
2012-08-21 00:00:00,-734,Nrep
2012-08-28 00:00:00,-13475,Com
2012-08-28 00:00:00,40674,Index
2012-08-28 00:00:00,-26741,Ncom
2012-08-28 00:00:00,-458,Nrep
2012-09-04 00:00:00,-11510,Com
2012-09-04 00:00:00,40965,Index
2012-09-04 00:00:00,-29401,Ncom
2012-09-04 00:00:00,-54,Nrep
2012-09-11 00:00:00,-14278,Com
2012-09-11 00:00:00,41919,Index
2012-09-11 00:00:00,-27765,Ncom
2012-09-11 00:00:00,124,Nrep
2012-09-18 00:00:00,-24115,Com
2012-09-18 00:00:00,42752,Index
2012-09-18 00:00:00,-18643,Ncom
2012-09-18 00:00:00,5,Nrep
2012-09-25 00:00:00,-24200,Com
2012-09-25 00:00:00,42519,Index
2012-09-25 00:00:00,-18709,Ncom
2012-09-25 00:00:00,390,Nrep
2012-10-02 00:00:00,-30991,Com
2012-10-02 00:00:00,42776,Index
2012-10-02 00:00:00,-12068,Ncom
2012-10-02 00:00:00,283,Nrep
2012-10-09 00:00:00,-27945,Com
2012-10-09 00:00:00,41688,Index
2012-10-09 00:00:00,-14955,Ncom
2012-10-09 00:00:00,1212,Nrep
2012-10-16 00:00:00,-21352,Com
2012-10-16 00:00:00,41589,Index
2012-10-16 00:00:00,-21979,Ncom
2012-10-16 00:00:00,1742,Nrep
2012-10-23 00:00:00,-18441,Com
2012-10-23 00:00:00,42065,Index
2012-10-23 00:00:00,-24884,Ncom
2012-10-23 00:00:00,1260,Nrep
2012-10-30 00:00:00,-16618,Com
2012-10-30 00:00:00,42360,Index
2012-10-30 00:00:00,-27151,Ncom
2012-10-30 00:00:00,1410,Nrep
2012-11-06 00:00:00,-10582,Com
2012-11-06 00:00:00,41940,Index
2012-11-06 00:00:00,-32688,Ncom
2012-11-06 00:00:00,1330,Nrep
2012-11-13 00:00:00,-9226,Com
2012-11-13 00:00:00,44399,Index
2012-11-13 00:00:00,-35939,Ncom
2012-11-13 00:00:00,765,Nrep
2012-11-20 00:00:00,-9318,Com
2012-11-20 00:00:00,44229,Index
2012-11-20 00:00:00,-34855,Ncom
2012-11-20 00:00:00,-56,Nrep
2012-11-27 00:00:00,-10818,Com
2012-11-27 00:00:00,44192,Index
2012-11-27 00:00:00,-33666,Ncom
2012-11-27 00:00:00,293,Nrep
2012-12-04 00:00:00,-12482,Com
2012-12-04 00:00:00,44498,Index
2012-12-04 00:00:00,-32941,Ncom
2012-12-04 00:00:00,926,Nrep
2012-12-11 00:00:00,-16343,Com
2012-12-11 00:00:00,47028,Index
2012-12-11 00:00:00,-30877,Ncom
2012-12-11 00:00:00,192,Nrep
2012-12-18 00:00:00,-14184,Com
2012-12-18 00:00:00,45363,Index
2012-12-18 00:00:00,-33298,Ncom
2012-12-18 00:00:00,2120,Nrep
2012-12-24 00:00:00,-15043,Com
2012-12-24 00:00:00,45961,Index
2012-12-24 00:00:00,-34110,Ncom
2012-12-24 00:00:00,3192,Nrep
2012-12-31 00:00:00,-14582,Com
2012-12-31 00:00:00,46284,Index
2012-12-31 00:00:00,-32790,Ncom
2012-12-31 00:00:00,1088,Nrep
2013-01-08 00:00:00,-18711,Com
2013-01-08 00:00:00,48749,Index
2013-01-08 00:00:00,-31995,Ncom
2013-01-08 00:00:00,1957,Nrep
2013-01-15 00:00:00,-34753,Com
2013-01-15 00:00:00,57310,Index
2013-01-15 00:00:00,-24144,Ncom
2013-01-15 00:00:00,1589,Nrep
2013-01-22 00:00:00,-35866,Com
2013-01-22 00:00:00,58303,Index
2013-01-22 00:00:00,-23293,Ncom
2013-01-22 00:00:00,856,Nrep
2013-01-29 00:00:00,-35733,Com
2013-01-29 00:00:00,58168,Index
2013-01-29 00:00:00,-23527,Ncom
2013-01-29 00:00:00,1092,Nrep
2013-02-05 00:00:00,-29853,Com
2013-02-05 00:00:00,58305,Index
2013-02-05 00:00:00,-30253,Ncom
2013-02-05 00:00:00,1801,Nrep
2013-02-12 00:00:00,-21457,Com
2013-02-12 00:00:00,58052,Index
2013-02-12 00:00:00,-38466,Ncom
2013-02-12 00:00:00,1871,Nrep
2013-02-19 00:00:00,-17954,Com
2013-02-19 00:00:00,55446,Index
2013-02-19 00:00:00,-39330,Ncom
2013-02-19 00:00:00,1838,Nrep
2013-02-26 00:00:00,-23045,Com
2013-02-26 00:00:00,55673,Index
2013-02-26 00:00:00,-33864,Ncom
2013-02-26 00:00:00,1237,Nrep
2013-03-05 00:00:00,-22700,Com
2013-03-05 00:00:00,54743,Index
2013-03-05 00:00:00,-34026,Ncom
2013-03-05 00:00:00,1983,Nrep
2013-03-12 00:00:00,-22788,Com
2013-03-12 00:00:00,55076,Index
2013-03-12 00:00:00,-34110,Ncom
2013-03-12 00:00:00,1822,Nrep
2013-03-19 00:00:00,-16491,Com
2013-03-19 00:00:00,54612,Index
2013-03-19 00:00:00,-39243,Ncom
2013-03-19 00:00:00,1122,Nrep
2013-03-26 00:00:00,-16848,Com
2013-03-26 00:00:00,54731,Index
2013-03-26 00:00:00,-38991,Ncom
2013-03-26 00:00:00,1107,Nrep
2013-04-02 00:00:00,-17236,Com
2013-04-02 00:00:00,54687,Index
2013-04-02 00:00:00,-36188,Ncom
2013-04-02 00:00:00,-1263,Nrep
2013-04-09 00:00:00,-21062,Com
2013-04-09 00:00:00,54691,Index
2013-04-09 00:00:00,-33920,Ncom
2013-04-09 00:00:00,291,Nrep
2013-04-16 00:00:00,-19774,Com
2013-04-16 00:00:00,55566,Index
2013-04-16 00:00:00,-35595,Ncom
2013-04-16 00:00:00,-197,Nrep
2013-04-23 00:00:00,-28802,Com
2013-04-23 00:00:00,55759,Index
2013-04-23 00:00:00,-27571,Ncom
2013-04-23 00:00:00,614,Nrep
2013-04-30 00:00:00,-26085,Com
2013-04-30 00:00:00,56880,Index
2013-04-30 00:00:00,-30937,Ncom
2013-04-30 00:00:00,142,Nrep
2013-05-07 00:00:00,-35812,Com
2013-05-07 00:00:00,56744,Index
2013-05-07 00:00:00,-20745,Ncom
2013-05-07 00:00:00,-186,Nrep
2013-05-14 00:00:00,-45812,Com
2013-05-14 00:00:00,56425,Index
2013-05-14 00:00:00,-11531,Ncom
2013-05-14 00:00:00,918,Nrep
2013-05-21 00:00:00,-34173,Com
2013-05-21 00:00:00,56616,Index
2013-05-21 00:00:00,-22299,Ncom
2013-05-21 00:00:00,-145,Nrep
2013-05-28 00:00:00,-24504,Com
2013-05-28 00:00:00,55995,Index
2013-05-28 00:00:00,-32439,Ncom
2013-05-28 00:00:00,948,Nrep
2013-06-04 00:00:00,-21920,Com
2013-06-04 00:00:00,55531,Index
2013-06-04 00:00:00,-34290,Ncom
2013-06-04 00:00:00,678,Nrep
2013-06-11 00:00:00,-22888,Com
2013-06-11 00:00:00,56457,Index
2013-06-11 00:00:00,-34481,Ncom
2013-06-11 00:00:00,912,Nrep
2013-06-18 00:00:00,-19284,Com
2013-06-18 00:00:00,56175,Index
2013-06-18 00:00:00,-38072,Ncom
2013-06-18 00:00:00,1181,Nrep
2013-06-25 00:00:00,-19323,Com
2013-06-25 00:00:00,55755,Index
2013-06-25 00:00:00,-37123,Ncom
2013-06-25 00:00:00,690,Nrep
2013-07-02 00:00:00,-23389,Com
2013-07-02 00:00:00,55712,Index
2013-07-02 00:00:00,-33070,Ncom
2013-07-02 00:00:00,748,Nrep
2013-07-09 00:00:00,-23463,Com
