date_actual,CIT_Long,CIT_Net,CIT_Short
2012-01-03 00:00:00,102521,0,-102521
2012-01-10 00:00:00,109934,-1,-109935
2012-01-17 00:00:00,110992,0,-110992
2012-01-24 00:00:00,115399,0,-115399
2012-01-31 00:00:00,120558,0,-120558
2012-02-07 00:00:00,129666,0,-129666
2012-02-14 00:00:00,123121,0,-123121
2012-02-21 00:00:00,123577,-1,-123578
2012-02-28 00:00:00,128727,-2,-128729
2012-03-06 00:00:00,132853,0,-132853
2012-03-13 00:00:00,137784,0,-137784
2012-03-20 00:00:00,145118,-1,-145119
2012-03-27 00:00:00,147398,1,-147397
2012-04-03 00:00:00,149023,1,-149022
2012-04-10 00:00:00,152130,2,-152128
2012-04-17 00:00:00,139338,0,-139338
2012-04-24 00:00:00,141724,0,-141724
2012-05-01 00:00:00,140821,-1,-140822
2012-05-08 00:00:00,141935,-1,-141936
2012-05-15 00:00:00,140398,-1,-140399
2012-05-22 00:00:00,142692,-1,-142693
2012-05-29 00:00:00,143664,1,-143663
2012-06-05 00:00:00,148029,1,-148028
2012-06-12 00:00:00,143235,0,-143235
2012-06-19 00:00:00,138898,-1,-138899
2012-06-26 00:00:00,139029,0,-139029
2012-07-03 00:00:00,138761,1,-138760
2012-07-10 00:00:00,138157,1,-138156
2012-07-17 00:00:00,138930,1,-138929
2012-07-24 00:00:00,135717,0,-135717
2012-07-31 00:00:00,136125,0,-136125
2012-08-07 00:00:00,135403,0,-135403
2012-08-14 00:00:00,131294,-1,-131295
2012-08-21 00:00:00,133276,2,-133274
2012-08-28 00:00:00,134772,0,-134772
2012-09-04 00:00:00,136363,0,-136363
2012-09-11 00:00:00,140343,0,-140343
2012-09-18 00:00:00,134257,-1,-134258
2012-09-25 00:00:00,132651,0,-132651
2012-10-02 00:00:00,135114,0,-135114
2012-10-09 00:00:00,132023,0,-132023
2012-10-16 00:00:00,134984,0,-134984
2012-10-23 00:00:00,134586,0,-134586
2012-10-30 00:00:00,134048,1,-134047
2012-11-06 00:00:00,139655,0,-139655
2012-11-13 00:00:00,131308,-1,-131309
2012-11-20 00:00:00,129972,0,-129972
2012-11-27 00:00:00,130858,1,-130857
2012-12-04 00:00:00,132649,1,-132648
2012-12-11 00:00:00,133273,0,-133273
2012-12-18 00:00:00,136551,1,-136550
2012-12-24 00:00:00,133615,0,-133615
2012-12-31 00:00:00,136647,0,-136647
2013-01-08 00:00:00,141982,0,-141982
2013-01-15 00:00:00,142976,2,-142974
2013-01-22 00:00:00,145852,0,-145852
2013-01-29 00:00:00,145131,0,-145131
2013-02-05 00:00:00,150742,0,-150742
2013-02-12 00:00:00,149890,0,-149890
2013-02-19 00:00:00,150760,0,-150760
2013-02-26 00:00:00,153258,1,-153257
2013-03-05 00:00:00,156578,0,-156578
2013-03-12 00:00:00,154760,0,-154760
2013-03-19 00:00:00,163850,0,-163850
2013-03-26 00:00:00,162396,-1,-162397
2013-04-02 00:00:00,161968,0,-161968
2013-04-09 00:00:00,159874,0,-159874
2013-04-16 00:00:00,156578,0,-156578
2013-04-23 00:00:00,150823,0,-150823
2013-04-30 00:00:00,155939,0,-155939
2013-05-07 00:00:00,150553,1,-150552
2013-05-14 00:00:00,149908,0,-149908
2013-05-21 00:00:00,152776,-1,-152777
