date_actual,mo,NY price
2020-01-02 00:00:00,2,129.4
2020-01-02 00:00:00,3,131.45
2020-01-03 00:00:00,2,128.65
2020-01-03 00:00:00,3,130.75
2020-01-06 00:00:00,2,124.5
2020-01-06 00:00:00,3,126.65
2020-01-07 00:00:00,2,124.7
2020-01-07 00:00:00,3,126.95
2020-01-08 00:00:00,2,121.45
2020-01-08 00:00:00,3,123.7
2020-01-09 00:00:00,2,119.7
2020-01-09 00:00:00,3,122
2020-01-10 00:00:00,2,121.3
2020-01-10 00:00:00,3,123.6
2020-01-13 00:00:00,2,116.9
2020-01-13 00:00:00,3,119.25
2020-01-14 00:00:00,2,117.25
2020-01-14 00:00:00,3,119.55
2020-01-15 00:00:00,2,116.65
2020-01-15 00:00:00,3,118.9
2020-01-16 00:00:00,2,115.25
2020-01-16 00:00:00,3,117.55
2020-01-17 00:00:00,2,114.45
2020-01-17 00:00:00,3,116.75
2020-01-21 00:00:00,2,113.35
2020-01-21 00:00:00,3,115.65
2020-01-22 00:00:00,2,113.25
2020-01-22 00:00:00,3,115.5
2020-01-23 00:00:00,2,114.8
2020-01-23 00:00:00,3,117.05
2020-01-24 00:00:00,2,112.4
2020-01-24 00:00:00,3,114.65
2020-01-27 00:00:00,2,108.85
2020-01-27 00:00:00,3,111.15
2020-01-28 00:00:00,2,107.3
2020-01-28 00:00:00,3,109.55
2020-01-29 00:00:00,2,104.25
2020-01-29 00:00:00,3,106.55
2020-01-30 00:00:00,2,103.65
2020-01-30 00:00:00,3,105.95
2020-01-31 00:00:00,2,104.9
2020-01-31 00:00:00,3,107.15
2020-02-03 00:00:00,2,100.2
2020-02-03 00:00:00,3,102.5
2020-02-04 00:00:00,2,100.35
2020-02-04 00:00:00,3,102.6
2020-02-05 00:00:00,2,99.85
2020-02-05 00:00:00,3,102.1
2020-02-06 00:00:00,2,100.35
2020-02-06 00:00:00,3,102.55
2020-02-07 00:00:00,2,100.5
2020-02-07 00:00:00,3,102.7
2020-02-10 00:00:00,2,102.1
2020-02-10 00:00:00,3,104.25
2020-02-11 00:00:00,2,102.55
2020-02-11 00:00:00,3,104.7
2020-02-12 00:00:00,2,102.75
2020-02-12 00:00:00,3,104.85
2020-02-13 00:00:00,2,106.7
2020-02-13 00:00:00,3,108.75
2020-02-14 00:00:00,2,111.35
2020-02-14 00:00:00,3,113.4
2020-02-18 00:00:00,2,108.85
2020-02-18 00:00:00,3,111.05
2020-02-19 00:00:00,2,109
2020-02-19 00:00:00,3,111.15
2020-02-20 00:00:00,2,104.95
2020-02-20 00:00:00,3,107.1
2020-02-21 00:00:00,2,110.25
2020-02-21 00:00:00,3,112.35
2020-02-24 00:00:00,2,106.9
2020-02-24 00:00:00,3,109.05
2020-02-25 00:00:00,2,108.5
2020-02-25 00:00:00,3,110.6
2020-02-26 00:00:00,2,110.65
2020-02-26 00:00:00,3,112.7
2020-02-27 00:00:00,2,109.75
2020-02-27 00:00:00,3,111.7
2020-02-28 00:00:00,2,111.35
2020-02-28 00:00:00,3,113.25
2020-03-02 00:00:00,2,115.6
2020-03-02 00:00:00,3,117.5
2020-03-03 00:00:00,2,122.2
2020-03-03 00:00:00,3,124.2
2020-03-04 00:00:00,2,118.4
2020-03-04 00:00:00,3,120.4
2020-03-05 00:00:00,2,111.35
2020-03-05 00:00:00,3,113.3
2020-03-06 00:00:00,2,107.4
2020-03-06 00:00:00,3,109.3
2020-03-09 00:00:00,2,109.2
2020-03-09 00:00:00,3,111.15
2020-03-10 00:00:00,2,114.35
2020-03-10 00:00:00,3,116.15
2020-03-11 00:00:00,2,112.05
2020-03-11 00:00:00,3,113.9
2020-03-12 00:00:00,2,108.85
2020-03-12 00:00:00,3,110.45
2020-03-13 00:00:00,2,106.75
2020-03-13 00:00:00,3,108.45
2020-03-16 00:00:00,2,103.9
2020-03-16 00:00:00,3,105.5
2020-03-17 00:00:00,2,102.6
2020-03-17 00:00:00,3,104
2020-03-18 00:00:00,2,108.3
2020-03-18 00:00:00,3,108.15
